S.No,Product Name,Material,Size,Colour
1,Kala Cravat,Brocade,Free,Black
2,Lal Cravat,Brocade,Free,Red
3,Rani Cravat,Brocade,Free,Crimson
4,Neeli Cravat,Jacquard,Free,Navy
5,Bahar Cravat,Silk,Free,Blue
6,Gulab Cravat,Jacquard,Free,Peach
7,Raja Cravat,Silk,Free,Maroon
8,Shahi Cravat,Polyester,Free,Navy
9,Neel Cravat,Polyester,Free,Navy
10,Indra Cravat,Polyester,Free,Navy
11,Tej Cravat,Silk,Free,Midnight
12,Krishn Cravat,Satin,Free,Black
13,Surya Cravat,Jacquard,Free,Navy
14,Shyam Cravat,Silk,Free,Magenta
15,Veer Cravat,Silk,Free,Wine
