S.No,Product Name,Material,Size,Colour
1,Royal Sword,Metal,Large,Brown
2,Dragon Sword,Metal,Large,White
3,Mughal Sword,Metal,Large,White
4,Velvet Sword,Metal,Large,Black
5,Bridal Sword,Metal,Large,Red
6,Rajput Sword,Metal,Large,Red
7,Teal Turban Pin,Metal,Free,Teal
8,Chrome Sword,Metal,Large,Black
9,Pearl Sword,Metal,Large,White
10,Filigree Sword,Metal,Large,Black
11,Golden Sword,Metal,Large,White
12,Teak Sword,Metal,Large,Brown
13,Silver Sword,Metal,Large,Silver
14,Zari Sword,Metal,Large,Red
15,Steel Sword,Metal,Large,Black
16,Ruby Turban Pin,Metal,Free,Ruby
17,Heritage Sword,Metal,Large,Brown
18,Ruby Turban Pin II,Metal,Free,Ruby
19,Brass Sword,Metal,Large,Brown
20,Classic Sword,Metal,Large,Brown
21,Lal Sword,Metal,Large,Red
22,Ivory Sword,Metal,Large,White
23,Dragon Sword II,Metal,Large,Silver
24,Shadow Sword,Metal,Large,Black
25,Guard Sword,Metal,Large,Black
26,Sandal Sword,Metal,Large,Brown
27,Maroon Sword,Metal,Large,Maroon
