S.No,Product Name,Material,Size,Colour
1,Bandhani Turban,Bandhani,Free,Multicolor
2,Kesari Turban,Cotton,Free,Orange
3,Rainbow Turban,Georgette,Free,Multicolor
4,Sona Turban,Silk,Free,Yellow
5,Ivory Turban,Silk,Free,Ivory
6,Blush Turban,Chiffon,Free,Blush
7,Rose Turban,Brocade,Free,Pink
8,Brocade Turban,Brocade,Free,Pink
9,Salmon Turban,Cotton,Free,Salmon
10,Peach Turban,Tissue,Free,Peach
11,Bandhani Pink Turban,Bandhani,Free,Pink
12,Shimmer Turban,Tissue,Free,Pink
13,Chikankari Turban,Chikankari,Free,Pink
14,Silk Turban,Silk,Free,Pink
15,Lal Turban,Tissue,Free,Red
16,Kota Turban,Kota,Free,Maroon
17,Stripe Turban,Kota,Free,Red
18,Tomato Turban,Satin,Free,Red
19,Peach Check Turban,Cotton,Free,Peach
20,Apricot Turban,Silk,Free,Peach
21,Dusty Rose Turban,Cotton,Free,Salmon
22,Champagne Turban,Georgette,Free,Champagne
23,Pearl Turban,Silk,Free,White
24,Floral Orange Turban,Cotton,Free,Orange
25,Ivory Floral Turban,Georgette,Free,White
26,Coral Turban,Cotton,Free,Coral
27,Garden Turban,Georgette,Free,Gold
28,Ikat Turban,Cotton,Free,White
29,Magenta Turban,Satin,Free,Magenta
30,Rani Silk Turban,Silk,Free,Magenta
31,Gold Shimmer Turban,Tissue,Free,White
32,Gold Check Turban,Tissue,Free,White
33,Multicolor Turban,Cotton,Free,Multicolor
34,Leheria Turban,Cotton,Free,Orange
35,Mint Turban,Georgette,Free,Mint
36,Velvet Turban,Velvet,Free,Maroon
37,Zardozi Turban,Satin,Free,Red
38,Copper Turban,Silk,Free,Maroon
39,Silver Turban,Satin,Free,Silver
40,Gold Satin Turban,Satin,Free,Gold
41,Rani Turban,Satin,Free,Magenta
42,Purple Turban,Satin,Free,Purple
43,Maroon Turban,Satin,Free,Maroon
44,Scarlet Turban,Satin,Free,Red
45,Blue Turban,Satin,Free,Blue
46,Teal Turban,Satin,Free,Teal
47,Yellow Turban,Satin,Free,Gold
48,Party Turban,Cotton,Free,Multicolor
49,Tricolor Turban,Cotton,Free,Tricolor
50,Mini Turban,Satin,Free,Pink
